[    9885ms] [LOG] load js fail! @ https://jstatic.3.cn/common/cart/h5_deal_addcart.v1.5.js:1
[   10896ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: mfsz, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满1500减230, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥525.62, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {borderColor: #FFB7BD, backgroundColor: #fff, code: sglj, color: #FF0F23, labelType: 1} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8.8折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: mfsz, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/414768/20/13966/2127/69d71862F3135eb79/027603c020d0240d.png, code: bjxp, labelType: 0, source: productCoreDTO, text: 新品} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥416.18, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {borderColor: #FFB7BD, backgroundColor: #fff, code: sglj, color: #FF0F23, labelType: 1} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享7.9折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10897ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: mfsz, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10976ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/417949/24/653/639/69d712e2F32414070/027603401c9538ba.png, source: ware, label: zy, text: 自营, attr: selfSupport} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10976ms] [INFO] itemitem {imgUrl: https://m.360buyimg.com/cc/jfs/t1/76464/27/27930/2990/66bb1c4aF28d63d19/c7f4323e5380516f.png, code: csps, source: ware, text: 厂商配送, attr: supplierSend} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10976ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥529.2, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10976ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满1享9折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10976ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满300减50, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10976ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
